timestamp,city,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,pressure,wind_speed,hour,day_of_week,month,is_weekend,aqi_next_1d,aqi_next_2d,aqi_next_3d
2025-06-13 09:09:15.316794,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 10:09:12.510398,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 11:09:09.588436,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 12:09:06.612302,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 13:09:03.947425,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 14:09:01.394689,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 15:08:58.624603,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 16:08:55.758744,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 17:08:53.198733,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 18:08:50.535079,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 19:08:47.770480,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 20:08:45.108049,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 21:08:42.138553,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 22:08:39.374709,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-13 23:08:36.711017,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 00:08:32.883168,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 01:08:29.161010,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 02:08:24.730145,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 03:08:21.869131,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 04:08:19.163930,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 05:08:15.206922,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 06:08:11.970397,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 07:08:07.356143,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 08:08:03.030683,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 09:07:52.902471,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 10:07:49.460689,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 11:07:46.126342,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 12:07:43.463335,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 13:07:39.677454,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 14:07:36.091295,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 15:07:31.583746,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 16:07:28.921205,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 17:07:26.240923,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 18:07:23.493570,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 19:07:20.831548,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 20:07:17.815512,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 21:07:15.201162,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 22:07:12.539222,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
2025-06-14 23:07:09.849076,"Barcelona (Eixample), Catalunya, Spain",51,50,23,51.3,11.5,1.1,0.1,24.4,77,1019.7,,23,2,6,False,51.0,51.0,51.0
